MET,Acc(HI),Acc/Baro(LO),Baro(HI),State
13.900,499,12,447,3
13.920,501,12,447,3
13.940,500,8,446,3
13.960,499,200,446,3
13.980,500,8,446,3
14.000,499,4,445,3
14.020,500,4,445,3
14.040,500,0,444,3
14.060,500,0,444,3
14.080,500,0,444,3
14.100,499,192,444,3
14.120,500,0,444,3
14.140,500,204,443,3
14.160,501,204,443,3
14.180,500,72,442,3
14.200,500,8,442,3
14.220,500,200,442,3
14.240,500,8,442,3
14.260,500,196,441,3
14.280,500,4,441,3
14.300,499,4,441,3
14.320,500,0,440,3
14.340,500,0,440,3
14.360,501,192,440,3
14.380,500,0,440,3
14.400,500,12,439,3
14.420,500,76,439,3
14.440,500,12,439,3
14.460,501,12,439,3
14.480,500,8,438,3
14.500,500,8,438,3
14.520,500,8,438,3
14.540,500,4,437,3
14.560,500,196,437,3
14.580,500,4,437,3
14.600,500,0,436,3
14.620,500,64,436,3
14.640,501,0,436,3
14.660,500,12,435,3
14.680,500,12,435,3
14.700,500,12,435,3
14.720,500,76,435,3
14.740,500,12,435,3
14.760,499,8,434,3
14.780,501,8,434,3
14.800,501,8,434,3
14.820,501,4,433,3
14.840,500,4,433,3
14.860,501,4,433,3
14.880,501,4,433,3
14.900,501,64,432,3
14.920,500,0,432,3
14.940,501,0,432,3
14.960,500,0,432,3
14.980,500,12,431,3
15.000,501,12,431,3
15.020,501,204,431,3
15.040,501,76,431,3
15.060,500,72,430,3
15.080,501,72,430,3
15.100,500,8,430,3
15.120,500,68,429,3
15.140,501,72,430,3
15.160,501,68,429,3
15.180,501,4,429,3
15.200,500,64,428,3
15.220,501,0,428,3
15.240,501,0,428,3
15.260,501,64,428,3
15.280,501,76,427,3
15.300,500,64,428,3
15.320,500,12,427,3
15.340,501,76,427,3
15.360,501,8,426,3
15.380,501,8,426,3
15.400,501,72,426,3
15.420,501,72,426,3
15.440,501,68,425,3
15.460,501,4,425,3
15.480,501,68,425,3
15.500,501,64,424,3
15.520,501,64,424,3
15.540,500,64,424,3
15.560,501,0,424,3
15.580,501,12,423,3
15.600,501,76,423,3
15.620,500,76,423,3
15.640,502,76,423,3
15.660,501,76,423,3
15.680,502,72,422,3
15.700,502,72,422,3
15.720,500,72,422,3
15.740,501,72,422,3
15.760,502,68,421,3
15.780,502,68,421,3
15.800,500,4,421,3
15.820,501,64,420,3
15.840,502,64,420,3
15.860,502,64,420,3
15.880,501,0,420,3
15.900,501,140,419,3
15.920,502,76,419,3
15.940,501,140,419,3
15.960,501,140,419,3
15.980,501,12,419,3
16.000,501,72,418,3
16.020,501,136,418,3
16.040,501,136,418,3
16.060,502,4,417,3
16.080,500,68,417,3
16.100,501,132,417,3
16.120,501,132,417,3
16.140,501,64,416,3
16.160,502,64,416,3
16.180,502,128,416,3
16.200,500,64,416,3
16.220,501,76,415,3
16.240,502,76,415,3
16.260,502,76,415,3
16.280,502,76,415,3
16.300,502,76,415,3
16.320,501,136,414,3
16.340,501,8,414,3
16.360,502,72,414,3
16.380,501,72,414,3
16.400,502,72,414,3
16.420,502,132,413,3
16.440,502,132,413,3
16.460,501,4,413,3
16.480,501,68,413,3
16.500,501,128,412,3
16.520,502,128,412,3
16.540,502,128,412,3
16.560,501,128,412,3
16.580,502,64,412,3
16.600,502,76,411,3
16.620,502,140,411,3
16.640,501,76,411,3
16.660,502,140,411,3
16.680,502,136,410,3
16.700,502,136,410,3
16.720,502,72,410,3
