# [0]SEQN, [1]Timestamp, [2]CPU_User, [3]CPU_System, [4]CPU_Nice, [5]CPU_IOWait, [6]CPU_IRQ, [7]CPU_SoftIRQ, [8]RAM_Used, [9]RAM_Buffer, [10]RAM_Cached, [11]PID, [12]Disk_Used, [13]Disk_Read, [14]Disk_Write, [15]IO_lo_Bytes_Sent, [16]IO_lo_Bytes_Recv, [17]IO_lo_Packets_Sent, [18]IO_lo_Packets_Recv, [19]IO_eth0_Bytes_Sent, [20]IO_eth0_Bytes_Recv, [21]IO_eth0_Packets_Sent, [22]IO_eth0_Packets_Recv, [23]IO_wlan0_Bytes_Sent, [24]IO_wlan0_Bytes_Recv, [25]IO_wlan0_Packets_Sent, [26]IO_wlan0_Packets_Recv, [27]Core_Temp
2156,201768533708051,0.0,1.10000002384,0.0,0.0,0.0,0.0,111345664,25849856,38219776,69,2583900160,0,0,156,156,1,1,0,461792,0,1213,432840,0,317,0,55000
2182,201769039883103,0.0,1.10000002384,0.0,0.0,0.0,0.0,111542272,25849856,38281216,69,2583932928,0,0,156,156,1,1,0,347418,0,1128,317124,0,233,0,55000
2207,201769546654321,0.0,0.0,0.0,0.0,0.0,2.20000004768,111640576,25849856,38281216,69,2583961600,0,0,156,156,1,1,0,389680,0,1161,359898,0,264,0,55000
2233,201770053396344,0.0,1.10000002384,0.0,0.0,0.0,1.10000002384,111931392,25849856,38342656,69,2583990272,0,0,156,156,1,1,0,407420,0,1173,379176,0,277,0,55000
2258,201770560367727,0.0,2.20000004768,0.0,0.0,0.0,1.10000002384,111734784,25849856,38342656,69,2584023040,0,0,156,156,1,1,0,489106,0,1234,460400,0,337,0,55000
2283,201771066895826,3.20000004768,1.10000002384,0.0,0.0,0.0,0.0,111869952,25849856,38400000,69,2584051712,0,0,156,156,1,1,0,326966,0,1114,296466,0,218,0,56000
2309,201771573396618,3.20000004768,3.20000004768,0.0,0.0,0.0,2.09999990463,111583232,25849856,38400000,69,2584080384,0,0,156,156,1,1,0,400510,0,1168,370858,0,272,0,56000
2335,201772079717289,1.10000002384,4.30000019073,0.0,0.0,0.0,0.0,111448064,25849856,38461440,69,2584113152,0,0,156,156,1,1,0,406050,0,1172,378136,0,277,0,55000
2360,201772586598925,3.20000004768,5.40000009537,0.0,0.0,0.0,0.0,111644672,25849856,38461440,69,2584141824,0,12288,156,156,1,1,0,500002,0,1242,471516,0,345,0,55000
2385,201773093604460,0.0,3.20000004768,0.0,0.0,0.0,2.09999990463,112103424,25849856,38518784,69,2584170496,0,0,156,156,1,1,0,309194,0,1100,278552,0,205,0,56000
2413,201773600323576,3.20000004768,3.20000004768,0.0,0.0,0.0,0.0,111775744,25849856,38518784,69,2584203264,0,0,156,156,1,1,0,389768,0,1161,361316,0,265,0,56000
2438,201774106850977,2.20000004768,2.20000004768,0.0,0.0,0.0,1.10000002384,111804416,25849856,38576128,69,2584231936,0,0,156,156,1,1,0,399290,0,1169,369676,0,272,0,56000
2463,201774612937051,1.10000002384,5.30000019073,0.0,0.0,1.10000002384,1.10000002384,111706112,25849856,38576128,69,2584260608,0,0,156,156,1,1,0,506608,0,1244,478324,0,350,0,56000
2489,201775119205551,0.0,4.30000019073,0.0,0.0,0.0,1.10000002384,111869952,25849856,38637568,69,2584293376,0,0,156,156,1,1,64,309410,1,1102,278558,0,205,0,55000
2515,201775625488717,2.20000004768,3.29999995232,0.0,0.0,0.0,0.0,112226304,25849856,38637568,69,2584322048,0,0,156,156,1,1,0,400438,0,1167,369462,0,271,0,55000
2540,201776131853179,1.10000002384,3.29999995232,0.0,0.0,0.0,1.10000002384,111996928,25849856,38694912,69,2584350720,0,0,156,156,1,1,0,410120,0,1176,383442,0,281,0,56000
2567,201776638176783,1.10000002384,4.40000009537,0.0,0.0,0.0,0.0,112095232,25849856,38694912,69,2584383488,0,0,156,156,1,1,0,487768,0,1232,458844,0,336,0,56000
2591,201777144767251,1.10000002384,5.30000019073,0.0,0.0,0.0,0.0,112459776,25849856,38756352,69,2584412160,0,0,156,156,1,1,0,325602,0,1113,295582,0,217,0,55000
2617,201777650939579,0.0,3.29999995232,0.0,0.0,0.0,0.0,112263168,25849856,38813696,69,2584440832,0,12288,156,156,1,1,0,396286,0,1163,368164,0,270,0,55000
2642,201778157526346,2.09999990463,3.20000004768,0.0,0.0,0.0,1.10000002384,111869952,25849856,38813696,69,2584473600,0,0,156,156,1,1,0,393842,0,1165,364006,0,267,0,56000
2668,201778663613607,3.20000004768,4.30000019073,0.0,0.0,0.0,0.0,111869952,25849856,38838272,69,2584502272,0,0,156,156,1,1,0,491714,0,1233,463154,0,339,0,56000
2693,201779170051751,1.10000002384,3.20000004768,0.0,0.0,0.0,1.10000002384,112226304,25849856,38875136,69,2584530944,0,0,156,156,1,1,0,326964,0,1114,296548,0,218,0,56000
2720,201779676105070,1.10000002384,4.19999980927,0.0,0.0,0.0,2.09999990463,112324608,25849856,38932480,69,2584563712,0,0,156,156,1,1,0,393716,0,1162,362660,0,266,0,56000
2745,201780182748059,1.10000002384,2.20000004768,0.0,0.0,0.0,0.0,112128000,25849856,38932480,69,2584592384,0,0,156,156,1,1,0,399224,0,1168,372254,0,273,0,56000
